,Player,Hall_of_Fame,Awards,All_Star,Championships,All_Nbas
0,Curly Armstrong,FALSE,0,0,0,0
1,Cliff Barker,FALSE,0,0,0,0
2,Leo Barnhorst,FALSE,0,2,0,0
3,Ed Bartels,FALSE,0,0,0,0
4,Ralph Beard,FALSE,0,1,0,1
5,Gene Berce,FALSE,0,0,0,0
6,Charlie Black,FALSE,0,0,0,0
7,Nelson Bobb,FALSE,0,0,0,0
8,Jake Bornheimer,FALSE,0,0,0,0
9,Vince Boryla,FALSE,0,1,0,0
10,Don Boven,FALSE,0,0,0,0
11,Harry Boykoff,FALSE,0,0,0,0
12,Joe Bradley,FALSE,0,0,0,0
13,Bob Brannum,FALSE,0,0,0,0
14,Carl Braun,TRUE,0,1,1,1
15,Frankie Brian,FALSE,0,1,0,1
16,Price Brookfield,FALSE,0,0,0,0
17,Bob Brown,FALSE,0,0,0,0
18,Jim Browne,FALSE,0,0,0,0
19,Walt Budko,FALSE,0,0,0,0
20,Jack Burmaster,FALSE,0,0,0,0
21,Tommy Byrnes,FALSE,0,0,0,0
22,Bill Calhoun,FALSE,0,0,1,0
23,Don Carlson,FALSE,0,0,1,0
24,Bob Carpenter,FALSE,0,0,0,0
25,Jake Carter,FALSE,0,0,0,0
26,John Chaney,FALSE,0,0,0,0
27,Leroy Chollet,FALSE,0,0,0,0
28,Bill Closs,FALSE,0,0,0,0
29,Paul Cloyd,FALSE,0,0,0,0
30,Jack Coleman,FALSE,1,1,0,1
31,Bobby Cook,FALSE,0,0,0,0
32,Ray Corley,FALSE,0,0,0,0
33,Jack Cotton,FALSE,0,0,0,0
34,Dillard Crocker,FALSE,0,0,0,0
35,Chink Crossin,FALSE,0,0,0,0
36,Fran Curran,FALSE,0,0,0,0
37,Jimmy Darden,FALSE,0,0,0,0
38,Hook Dillon,FALSE,0,0,0,0
39,Earl Dodd,FALSE,0,0,0,0
40,Joe Dolhon,FALSE,0,0,0,0
41,Bob Doll,FALSE,0,0,0,0
42,Harry Donovan,FALSE,0,0,0,0
43,Andy Duncan,FALSE,0,0,0,0
44,Dike Eddleman,FALSE,0,1,0,0
45,Gene Englund,FALSE,0,0,0,0
46,Bob Evans,FALSE,0,0,0,0
47,Johnny Ezersky,FALSE,0,0,0,0
48,Bob Feerick,FALSE,0,0,0,1
49,George Feigenbaum,FALSE,0,0,0,0
50,Arnie Ferrin,FALSE,0,0,1,0
51,Jerry Fleishman,FALSE,0,0,1,0
52,Bill Gabor,FALSE,0,1,0,0
53,Elmer Gainer,FALSE,0,0,0,0
54,Vern Gardner,FALSE,0,0,0,0
55,Frank Gates,FALSE,0,0,0,0
56,Dee Gibson,FALSE,0,0,0,0
57,Hoot Gibson,FALSE,0,0,0,0
58,Chuck Gilmur,FALSE,0,0,0,0
59,Normie Glick,FALSE,0,0,0,0
60,Paul Gordon,FALSE,0,0,0,0
61,Joe Graboski,FALSE,0,0,1,0
62,Bud Grant,FALSE,0,0,1,0
63,Don Grate,FALSE,0,0,0,0
64,Alex Groza,FALSE,1,1,0,1
65,Al Guokas,FALSE,0,0,0,0
66,Robert Hahn,FALSE,0,0,0,0
67,Chick Halbert,FALSE,0,0,0,1
68,Bruce Hale,FALSE,0,0,0,0
69,Dale Hamilton,FALSE,0,0,0,0
70,John Hargis,FALSE,0,0,0,0
71,Bob Harris,TRUE,1,1,1,1
72,Bob Harrison,FALSE,0,1,1,0
73,Billy Hassett,FALSE,0,0,1,0
74,Marshall Hawkins,FALSE,0,0,0,0
75,Bill Henry,FALSE,0,0,0,1
76,Bill Herman,FALSE,0,0,0,0
77,Kleggie Hermsen,FALSE,0,0,1,0
78,Sonny Hertzberg,FALSE,0,0,0,0
79,Paul Hoffman,FALSE,1,0,1,0
80,Joe Holland,FALSE,0,0,0,0
81,Gene James,FALSE,0,0,0,0
82,Howie Janotta,FALSE,0,0,0,0
83,Tony Jaros,FALSE,0,0,1,0
84,Arnie Johnson,FALSE,0,0,1,0
85,Ralph Johnson,FALSE,0,0,0,0
86,Noble Jorgensen,FALSE,0,0,0,0
87,George Kaftan,FALSE,0,0,0,0
88,Leo Katkaveck,FALSE,0,0,0,0
89,Jack Kerris,FALSE,0,0,0,0
90,Bob Kinney,FALSE,0,0,0,0
91,Walt Kirk,FALSE,0,0,0,0
92,Leo Klier,FALSE,0,0,0,0
93,Duane Klueh,FALSE,0,0,0,0
94,Lee Knorek,FALSE,0,0,0,0
95,Milo Komenich,FALSE,0,0,0,0
96,Leo Kubiak,FALSE,0,0,0,0
97,Frank Kudelka,FALSE,0,0,0,0
98,Walt Lautenbach,FALSE,0,0,0,0
99,Tony Lavelli,FALSE,0,0,0,0
100,Ed Leede,FALSE,0,0,0,0
101,Andrew Levane,FALSE,0,0,0,0
102,Freddie Lewis,FALSE,1,1,1,0
103,Freddie Lewis,FALSE,1,1,1,0
104,Ron Livingstone,FALSE,0,0,0,0
105,John Logan,FALSE,0,0,0,1
106,Ray Lumpp,FALSE,0,0,0,0
107,John Mahnken,FALSE,0,0,0,0
108,John Mandic,FALSE,0,0,0,0
109,Ariel Maughan,FALSE,0,0,0,0
110,Matt Mazza,FALSE,0,0,0,0
111,Mike McCarron,FALSE,0,0,0,0
